Wall time,Step,Value
1690967845.2263548,2679102,1019.99072265625
1690968145.5876746,2684648,959.45458984375
1690968267.6884465,2687396,960.687744140625
1690969036.089069,2701412,764.0825805664062
1690969307.8397691,2706235,626.0478515625
1690969510.7668214,2710152,596.5802001953125
1690969691.1927497,2714041,668.61962890625
1690969853.448014,2717242,701.6834106445312
1690970210.378783,2723623,618.5665893554688
1690970255.9166567,2724623,651.0927124023438
1690970322.4630783,2726123,663.7902221679688
1690970365.470393,2727123,690.944580078125
1690970462.821605,2728994,643.2246704101562
1690970673.8402243,2732703,645.8743896484375
1690970797.2049305,2734972,649.5703735351562
1690970839.4065642,2735600,653.5144653320312
1690970930.44798,2737139,611.5278930664062
1690971056.2405994,2738973,608.0113525390625
1690971092.5843778,2739474,611.93115234375
1690972094.7431517,2758975,555.06005859375
1690972310.589024,2763529,584.9449462890625
1690972454.222341,2766638,662.3475952148438
1690972832.7974052,2773978,706.3148803710938
1690972843.8976243,2774239,704.26416015625
1690972880.1839607,2774740,700.465087890625
1690973138.626961,2779539,731.863525390625
1690973200.3085349,2780452,729.2791137695312
1690973362.054381,2783238,719.4917602539062
1690973384.0849595,2783738,718.7991333007812
1690973470.5529578,2785513,725.6265258789062
1690973537.28545,2786699,742.0528564453125
1690973566.2478817,2787199,742.5253295898438
1690973865.9591618,2793300,788.79736328125
1690974463.1121628,2805096,642.8106079101562
1690974698.7430115,2809797,680.88671875
1690974815.4041812,2811770,683.8395385742188
1690974910.2525692,2813569,707.5537719726562
1690975120.0583565,2816948,635.710205078125
1690975283.2447598,2819798,598.8145751953125
1690975582.0756774,2825910,653.1612548828125
1690975811.5735805,2830734,690.4462890625
1690975953.3668041,2833637,742.7075805664062
1690975975.456146,2834137,755.3322143554688
1690976149.1337152,2837361,705.9212646484375
1690976897.5990164,2851872,873.6593627929688
1690977047.6959872,2854628,908.815185546875
1690977071.70535,2855128,928.5121459960938
1690977137.5257144,2856493,937.2982788085938
1690977793.228664,2869760,890.2823486328125
1690978671.0175388,2886788,858.1626586914062
1690978759.7608757,2888788,893.0299682617188
1690979129.253072,2896488,948.1627807617188
1690979239.6911972,2898988,987.02197265625
1690979601.3620942,2906462,926.762939453125
1690979641.6910942,2907060,887.120849609375
1690980027.3107538,2914138,845.266357421875
1690980224.545537,2917591,743.4240112304688
1690980498.6311274,2922747,822.8277587890625
1690980669.5833223,2926118,757.75146484375
1690980811.6378477,2928777,701.1773681640625
1690981126.8826373,2934869,704.6851196289062
1690981163.0013356,2935370,709.5004272460938
1690981230.2086122,2936870,736.2916870117188
1690981615.6827195,2944083,740.3908081054688
1690981639.1501698,2944250,718.2283935546875
1690981698.45995,2944668,711.2066040039062
1690981928.7928615,2949323,810.3922729492188
1690982092.5835967,2953099,880.1527709960938
1690982175.7391052,2954600,834.2587280273438
1690982501.868778,2960528,791.3226928710938
1690982857.9550257,2967875,823.640869140625
1690982983.5918045,2970376,827.44482421875
1690983074.2061677,2972073,818.361572265625
1690983178.9528906,2974074,777.4496459960938
1690983555.9555986,2982314,837.3736572265625
1690983577.4379792,2982814,843.8162231445312
1690984128.013437,2994615,973.0372314453125
1690984304.4926307,2998615,1072.8499755859375
1690984492.3823128,3002527,1105.8856201171875
1690984688.3019898,3005944,1062.7232666015625
1690985059.518065,3012255,971.5896606445312
1690985428.7140393,3019849,982.5819091796875
1690986055.5449653,3032735,854.687744140625
1690986063.0178008,3032736,840.1558227539062
